Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_EA1678AA	MOD1-EC6577	SRR3957116;ILLUMINA;Paired;300;SRX1981176;SRA	Livestock	Bovine	veterinary clinical/research| cow; bovine; feces (Bos taurus)	1990	7	18		North America	Canada							FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O174:H39						PRJNA230969	SRP058582		SAMN04992402	SRS1588620	2016-07-28	2015-01-01	ESC_EA1678AA	Assembled	102	97715	4690347	Escherichia coli / Shigella;100.0%	117	8288	3.51	ESC_HA7821AA_AS
ESC_EA2339AA	MOD1-EC6576	SRR3987556;ILLUMINA;Paired;300;SRX1988891;SRA	Livestock	Bovine	veterinary clinical/research| cow; bovine; feces (Bos taurus)	1990	7	18		North America	Canada							FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O11						PRJNA230969	SRP058582		SAMN04992401	SRS1592654	2016-07-30	2015-01-01	ESC_EA2339AA	Assembled	71	56354	4666680	Escherichia coli / Shigella;98.55%	161	13506	3.51	ESC_HA8219AA_AS
ESC_EA2341AA	MOD1-EC6573	SRR3987554;ILLUMINA;Paired;300;SRX1988889;SRA	Livestock	Bovine	veterinary clinical/research| cow; bovine; feces (Bos taurus)	1990	7	18		North America	Canada							FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O6						PRJNA230969	SRP058582		SAMN04992398	SRS1592652	2016-07-30	2015-01-01	ESC_EA2341AA	Assembled	63	79580	4709242	Escherichia coli / Shigella;93.85%	139	14299	3.51	ESC_HA8217AA_AS
ESC_EA2344AA	MOD1-EC6566	SRR3987551;ILLUMINA;Paired;300;SRX1988886;SRA	Livestock	Bovine	veterinary clinical/research| cow; bovine; feces (Bos taurus)	1990	7	18		North America	Canada							FDA Center for Food Safety and Applied Nutrition	Escherichia coli		O174						PRJNA230969	SRP058582		SAMN04992978	SRS1592650	2016-07-30	2015-01-01	ESC_EA2344AA	Assembled	57	48149	4586402	Escherichia coli / Shigella;97.91%	225	15154	3.51	ESC_HA8214AA_AS
ESC_HA2844AA	OLC997	SRR6061326;ILLUMINA;Paired;;SRX3206685;SRA				2010	12	16		North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O118:H12						PRJNA309770	SRP118710		SAMN04420130	SRS2532482	2017-09-23	2017-09-22	ESC_HA2844AA	Assembled	304	96283	5090214	Escherichia coli / Shigella;99.31%	232	2012	3.61	ESC_PA5937AA_AS
ESC_HA2853AA	OLC1259	SRR6061335;ILLUMINA;Paired;;SRX3206676;SRA				2014	1	29		North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O78:H2						PRJNA309770	SRP118710		SAMN04420177	SRS2532473	2017-09-23	2017-09-22	ESC_HA2853AA	Assembled	172	185130	4772570	Escherichia coli / Shigella;100.0%	84	1816	3.61	ESC_PA5928AA_AS
ESC_HA2890AA	OLC1075	SRR6061372;ILLUMINA;Paired;;SRX3206639;SRA				2012	12	21		North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O113:H4						PRJNA309770	SRP118710		SAMN04420149	SRS2532436	2017-09-23	2017-09-22	ESC_HA2890AA	Assembled	125	146124	5213200	Escherichia coli / Shigella;99.31%	218	2544	3.61	ESC_PA5891AA_AS
ESC_IA3880AA	pb9	SRR6703067;ILLUMINA;Paired;;SRX3677224;SRA	Human	Human	Homo sapiens; urine	2012	1	2		North America	Canada	Ontario						Carleton University	Escherichia coli								PRJNA433633	SRP132562		SAMN08513228	SRS2937919	2018-02-13	2018-02-09	ESC_IA3880AA	Assembled	29	58207	5031793	Escherichia coli / Shigella;81.78%	240	31618	3.61	ESC_RA4807AA_AS
ESC_JA8476AA	MM84	SRR7695725;ILLUMINA;Paired;;SRX4554064;SRA	Laboratory	Laboratory	laboratory	2011	11	6		North America	Canada	Québec	Montreal	Montreal		45.5	-73.6	Universite de Montreal	Escherichia coli								PRJNA486133	SRP157981		SAMN09837321	SRS3671070	2018-08-17	2018-08-17	ESC_JA8476AA	Assembled	744	125883	4486532	Escherichia coli / Shigella;98.31%	90	15508	4	ESC_TA2062AA_AS
ESC_JA8479AA	RFM443	SRR7695728;ILLUMINA;Paired;;SRX4554061;SRA	Laboratory	Laboratory	laboratory	2011	11	6		North America	Canada	Québec	Montreal	Montreal		45.5	-73.6	Universite de Montreal	Escherichia coli								PRJNA486133	SRP157981		SAMN09837320	SRS3671067	2018-08-17	2018-08-17	ESC_JA8479AA	Assembled	721	125883	4484286	Escherichia coli / Shigella;98.31%	91	13202	4	ESC_TA2059AA_AS
ESC_JA8482AA	AB004	SRR7695731;ILLUMINA;Paired;;SRX4554058;SRA	Laboratory	Laboratory	laboratory	2011	11	6		North America	Canada	Québec	Montreal	Montreal		45.5	-73.6	Universite de Montreal	Escherichia coli								PRJNA486133	SRP157981		SAMN09837315	SRS3671066	2018-08-17	2018-08-17	ESC_JA8482AA	Assembled	720	125883	4582683	Escherichia coli / Shigella;98.44%	99	16102	4	ESC_TA2056AA_AS
ESC_JA8483AA	JB04	SRR7695732;ILLUMINA;Paired;;SRX4554057;SRA	Laboratory	Laboratory	laboratory	2011	11	6		North America	Canada	Québec	Montreal	Montreal		45.5	-73.6	Universite de Montreal	Escherichia coli								PRJNA486133	SRP157981		SAMN09837316	SRS3671065	2018-08-17	2018-08-17	ESC_JA8483AA	Assembled	877	125883	4488261	Escherichia coli / Shigella;98.38%	90	13475	4	ESC_TA2055AA_AS
ESC_KA3492AA	AMR520-5146	SRR8079363;ILLUMINA;Paired;;SRX4906566;SRA	Livestock	Swine	Porcine: Feces	2014	11	17		North America	Canada	Ontario						National Microbiology Laboratory	Escherichia coli		O2:Nm						PRJNA495338	SRP166150		SAMN10222558	SRS3952689	2018-10-19	2018-10-19	ESC_KA3492AA	Assembled	82	48312	5503170	Escherichia coli / Shigella;88.85%	358	43191	4	ESC_UA1311AA_AS
ESC_KA3514AA	CE-R3-14-0008	SRR8079385;ILLUMINA;Paired;;SRX4906544;SRA	Livestock	Swine	Ground pork	2014	12	11		North America	Canada	Ontario						National Microbiology Laboratory	Escherichia coli		O2:Nm						PRJNA495338	SRP166150		SAMN10222538	SRS3952669	2018-10-19	2018-10-19	ESC_KA3514AA	Assembled	55	69616	5160357	Escherichia coli / Shigella;91.45%	273	29106	4	ESC_UA1289AA_AS
ESC_KA3518AA	AMR520-5206	SRR8079389;ILLUMINA;Paired;;SRX4906540;SRA	Livestock	Swine	Porcine: Feces	2014	12	15		North America	Canada	Ontario						National Microbiology Laboratory	Escherichia coli		Or:Nm						PRJNA495338	SRP166150		SAMN10222555	SRS3952665	2018-10-19	2018-10-19	ESC_KA3518AA	Assembled	79	79548	5124758	Escherichia coli / Shigella;96.38%	218	25968	4	ESC_UA1285AA_AS
ESC_KA9282AA	DAR-FD-2015-MI-00622_316-4-10	SRR8448484;ILLUMINA;Paired;;SRX5255467;SRA	Food	Food	food	2015				North America	Canada							Canadian Food Inspection Agency	Escherichia coli		O36:H19						PRJNA454819	SRP151368		SAMN10746424	SRS4256978	2019-01-18	2019-01-16	ESC_KA9282AA	Assembled	315	61155	5100740	Escherichia coli / Shigella;93.2%	245	45434	4	ESC_VA6921AA_AS
ESC_LA1996AA	FWSEC0050	SRR7947241;ILLUMINA;Paired;;SRX4781367;SRA	Livestock	Bovine	bovine; manure from farm	1996				North America	Canada							Public Health Agency of Canada	Escherichia coli		O113:H4						PRJNA287560	SRP155537		SAMN08796997	SRS3602577	2019-02-11	2019-01-22	ESC_LA1996AA	Assembled	125	85443	5030770	Escherichia coli / Shigella;95.38%	305	60451	4	ESC_WA9344AA_AS
ESC_LA1997AA	FWSEC0049	SRR7947242;ILLUMINA;Paired;;SRX4781366;SRA	Livestock	Bovine	bovine; manure from farm	1996				North America	Canada							Public Health Agency of Canada	Escherichia coli		O113:H4						PRJNA287560	SRP155537		SAMN08796996	SRS3602322	2019-02-11	2019-01-22	ESC_LA1997AA	Assembled	205	90095	5062134	Escherichia coli / Shigella;93.9%	260	72943	4	ESC_YA7687AA_AS
ESC_LA2880AA	FWSEC0400	SRR7612152;ILLUMINA;Paired;;SRX4477095;SRA	Environment	Water/River	intake water	2011				North America	Canada	Ontario						NML_bioinformatics	Escherichia coli		O113:H4						PRJNA287560	SRP155537		SAMN08797271	SRS3602364	2019-02-11	2019-01-22	ESC_LA2880AA	Assembled	119	116417	4941906	Escherichia coli / Shigella;97.26%	180	31846	4	ESC_WA7995AA_AS
ESC_LA2964AA	FWSEC0438	SRR7612294;ILLUMINA;Paired;;SRX4476953;SRA	Environment	Water/River	river water	2013				North America	Canada	Ontario						NML_bioinformatics	Escherichia coli		O113:H4						PRJNA287560	SRP155537		SAMN08797309	SRS3602223	2019-02-11	2019-01-22	ESC_LA2964AA	Assembled	110	105941	4913806	Escherichia coli / Shigella;98.05%	189	41698	4	ESC_WA7911AA_AS
ESC_MA0156AA	23	SRR8533870;ILLUMINA;Paired;;SRX5336423;SRA	Human	Human	Homo sapiens; bloodstream isolates	2010				North America	Canada							Public Health Ontario	Escherichia coli								PRJNA521038	SRP183760		SAMN10875311	SRS4329699	2019-03-03	2019-02-28	ESC_MA0156AA	Assembled	134	147601	5201495	Escherichia coli / Shigella;100.0%	228	28810	4	ESC_XA1385AA_AS
ESC_MA0231AA	394	SRR8533532;ILLUMINA;Paired;;SRX5336348;SRA	Human	Human	Homo sapiens; bloodstream isolates	2015				North America	Canada							Public Health Ontario	Escherichia coli								PRJNA521038	SRP183760		SAMN10875681	SRS4329624	2019-03-03	2019-02-28	ESC_MA0231AA	Assembled	89	156819	4835493	Escherichia coli / Shigella;87.5%	93	51876	4	ESC_XA1310AA_AS
ESC_MA0271AA	17	SRR8533572;ILLUMINA;Paired;;SRX5336308;SRA	Human	Human	Homo sapiens; bloodstream isolates	2010				North America	Canada							Public Health Ontario	Escherichia coli								PRJNA521038	SRP183760		SAMN10875305	SRS4329584	2019-03-03	2019-02-28	ESC_MA0271AA	Assembled	76	137405	4760983	Escherichia coli / Shigella;100.0%	98	18846	4	ESC_XA1270AA_AS
