Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Assembly barcode	Version
ESC_AA7766AA	FSIS1503258	SRR2132072;ILLUMINA;Paired;500;SRX1122551;NEW	Livestock	Bovine	animal-cattle-steer	2014				North America	United States	Iowa						USDA-FSIS	Escherichia coli		O145						PRJNA268206	SRP050539		SAMN03940975	SRS1015192	2015-08-27	2015-07-28	ESC_AA7766AA	Assembled	0	111959	5462196	Escherichia coli / Shigella;98.46%	276	13539	ESC_BA9928AA_AS	2.2
ESC_AA7827AA	FSIS1500788	SRR2126002;ILLUMINA;Paired;500;SRX1117318;NEW	Livestock	Bovine	product-raw-intact-beef	2012				North America	United States	Illinois						USDA-FSIS	Escherichia coli		O145						PRJNA268206	SRP050539		SAMN03922108	SRS1010514	2015-08-27	2015-07-24	ESC_AA7827AA	Assembled	57.48	116505	5376903	Escherichia coli / Shigella;98.66%	239	20253	ESC_CA0497AA_AS	2.2
ESC_AA7860AA	FSIS1500875	SRR2125830;ILLUMINA;Paired;500;SRX1117195;NEW	Livestock	Bovine	comminuted beef	2013				North America	United States	Kansas						USDA-FSIS	Escherichia coli		O145						PRJNA268206	SRP050539		SAMN03921927	SRS1010399	2015-08-27	2015-07-24	ESC_AA7860AA	Assembled	0	156497	5339289	Escherichia coli / Shigella;99.07%	225	10602	ESC_CA1039AA_AS	2.2
ESC_AA7925AA	PNUSAE000868	SRR2120940;ILLUMINA;Paired;;SRX1113945;NEW			Age: 5-9; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03801282	SRS1008318	2015-08-27	2015-07-21	ESC_AA7925AA	Assembled	136.19	166117	5184438	Escherichia coli / Shigella;99.55%	241	9655	ESC_CA5756AA_AS	2.2
ESC_AA8072AA	PNUSAE000707	SRR2102926;ILLUMINA;Paired;;SRX1097518;NEW			Age: 30-39; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03792122	SRS992629	2015-08-27	2015-07-15	ESC_AA8072AA	Assembled	48.36	130511	5439144	Escherichia coli / Shigella;99.17%	393	26992	ESC_BA5994AA_AS	2.2
ESC_AA8342AA	PNUSAE000631	SRR2056404;ILLUMINA;Paired;500;SRX1053602;NEW			Age: 20-29; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03743636	SRS956538	2015-08-27	2015-06-08	ESC_AA8342AA	Assembled	106.32	133887	5585622	Escherichia coli / Shigella;98.36%	401	9686	ESC_BA1985AA_AS	2.2
ESC_AA8344AA	PNUSAE000630	SRR2056403;ILLUMINA;Paired;500;SRX1053601;NEW			Age: 10-19; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03743635	SRS956521	2015-08-27	2015-06-08	ESC_AA8344AA	Assembled	104.79	133865	5664548	Escherichia coli / Shigella;98.95%	436	9688	ESC_BA5110AA_AS	2.2
ESC_AA8346AA	PNUSAE000629	SRR2056402;ILLUMINA;Paired;500;SRX1053600;NEW			Age: 10-19; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03743637	SRS956522	2015-08-27	2015-06-08	ESC_AA8346AA	Assembled	93.73	133887	5660690	Escherichia coli / Shigella;98.34%	357	11011	ESC_BA9259AA_AS	2.2
ESC_AA8394AA	PNUSAE000219	SRR2056061;ILLUMINA;Paired;500;SRX1053408;NEW			Age: 50-59; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03290650	SRS956381	2015-08-27	2015-06-08	ESC_AA8394AA	Assembled	60.74	136763	5380885	Escherichia coli / Shigella;99.06%	356	12211	ESC_BA5080AA_AS	2.2
ESC_AA8527AA	PNUSAE000600	SRR2038678;ILLUMINA;Paired;500;SRX1037395;NEW			Age: 50-59; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03651469	SRS944618	2015-08-27	2015-05-22	ESC_AA8527AA	Assembled	99.18	146288	5435347	Escherichia coli / Shigella;99.16%	253	8955	ESC_CA3801AA_AS	2.2
ESC_AA8576AA	PNUSAE000494	SRR2038459;ILLUMINA;Paired;500;SRX1037189;NEW			Age: 20-29; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03654365	SRS944432	2015-08-27	2015-05-22	ESC_AA8576AA	Assembled	174.09	167434	5322865	Escherichia coli / Shigella;95.53%	258	4180	ESC_BA3179AA_AS	2.2
ESC_AA8594AA	PNUSAE000482	SRR2038450;ILLUMINA;Paired;500;SRX1037180;NEW			Age: 10-19; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03653586	SRS944424	2015-08-27	2015-05-22	ESC_AA8594AA	Assembled	0	146170	5318986	Escherichia coli / Shigella;99.28%	306	4137	ESC_CA1086AA_AS	2.2
ESC_AA8607AA	PNUSAE000271	SRR2038443;ILLUMINA;Paired;500;SRX1037173;NEW			Age: 10-19; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03656161	SRS944422	2015-08-27	2015-05-22	ESC_AA8607AA	Assembled	86.98	155890	5443738	Escherichia coli / Shigella;99.65%	316	9890	ESC_BA6457AA_AS	2.2
ESC_AA9727AA	H123900876	SRR1981493;ILLUMINA;Paired;;SRX1000395;NEW	Human	Human	Homo sapiens; human					Europe	United Kingdom							Gastrointestinal Bacteria Reference Unit, Public Health England	Escherichia coli		O157						PRJNA248042	SRP058392		SAMN03492488	SRS914351	2015-08-27	2015-04-21	ESC_AA9727AA	Assembled	67.83	137759	5357199	Escherichia coli / Shigella;99.32%	158	3073	ESC_BA0851AA_AS	2.2
ESC_BA0084AA	H123840836	SRR1981091;ILLUMINA;Paired;;SRX1000068;NEW	Human	Human	Homo sapiens; human					Europe	United Kingdom							Gastrointestinal Bacteria Reference Unit, Public Health England	Escherichia coli		O157						PRJNA248042	SRP058392		SAMN03492128	SRS914085	2015-08-27	2015-04-21	ESC_BA0084AA	Assembled	67.21	159971	5314822	Escherichia coli / Shigella;99.32%	157	3671	ESC_CA3018AA_AS	2.2
ESC_BA0206AA	H104660468	SRR1981023;ILLUMINA;Paired;;SRX1000002;NEW	Human	Human	Homo sapiens; human					Europe	United Kingdom							Gastrointestinal Bacteria Reference Unit, Public Health England	Escherichia coli		O157						PRJNA248042	SRP058392		SAMN03492053	SRS913990	2015-08-27	2015-04-21	ESC_BA0206AA	Assembled	64.74	140571	5337405	Escherichia coli / Shigella;98.78%	172	2939	ESC_BA5952AA_AS	2.2
ESC_BA0328AA	2013C-4299	SRR1570133;ILLUMINA;Paired;500;SRX696442;NEW,SRR2015140;ILLUMINA;Paired;;SRX1022469;NEW	Human	Human	Homo sapiens; Age: 0-4; stool	2013	3			North America	United States							EDLB-CDC	Escherichia coli		O145: H28					Huang 2021 PubMed34119271	PRJNA218110	SRP046387		SAMN03019940	SRS697523	2015-08-27	2015-05-14	ESC_BA0328AA	Assembled	61.99	164264	5332942	Escherichia coli / Shigella;98.64%	235	10642	ESC_CA6614AA_AS	2.2
ESC_BA0913AA	2014C-3084	SRR1999798;ILLUMINA;Paired;;SRX1011821;NEW			Age: 10-19; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03569446	SRS923711	2015-08-27	2015-04-30	ESC_BA0913AA	Assembled	209.75	155890	5446303	Escherichia coli / Shigella;99.36%	344	6615	ESC_CA5084AA_AS	2.2
ESC_BA0915AA	2014C-3144	SRR1999794;ILLUMINA;Paired;;SRX1011816;NEW								North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03569444	SRS923636	2015-08-27	2015-04-30	ESC_BA0915AA	Assembled	77.66	134487	5415853	Escherichia coli / Shigella;99.02%	320	9814	ESC_BA4246AA_AS	2.2
ESC_BA0917AA	2011C-4217	SRR1999793;ILLUMINA;Paired;;SRX1011815;NEW								North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03569442	SRS923637	2015-08-27	2015-04-30	ESC_BA0917AA	Assembled	158.96	122288	5526154	Escherichia coli / Shigella;98.96%	326	11354	ESC_AA9166AA_AS	2.2
ESC_BA0919AA	2011C-4207	SRR1999790;ILLUMINA;Paired;;SRX1011813;NEW								North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03569443	SRS923639	2015-08-27	2015-04-30	ESC_BA0919AA	Assembled	70.78	122288	5526657	Escherichia coli / Shigella;98.38%	336	14120	ESC_CA4741AA_AS	2.2
ESC_BA0950AA	08-4046	SRR1999267;ILLUMINA;Paired;;SRX1011310;NEW								North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03569146	SRS923227	2015-08-27	2015-04-30	ESC_BA0950AA	Assembled	42.91	152800	5365807	Escherichia coli / Shigella;98.68%	249	20764	ESC_BA1189AA_AS	2.2
ESC_BA0979AA	2013C-3481	SRR1999116;ILLUMINA;Paired;;SRX1011159;NEW			Age: 30-39; stool					North America	United States							EDLB-CDC	Escherichia coli								PRJNA218110	SRP046387		SAMN03569094	SRS923099	2015-08-27	2015-04-30	ESC_BA0979AA	Assembled	44.12	114488	5197873	Escherichia coli / Shigella;100.0%	225	21995	ESC_AA7912AA_AS	2.2
